timestamp,open,high,low,close
1786233600000,4346.055,4346.055,4346.055,4346.055
1786233900000,4346.055,4346.055,4346.055,4346.055
1786234200000,4346.055,4346.055,4346.055,4346.055
1786234500000,4346.055,4346.055,4346.055,4346.055
1786234800000,4346.055,4346.055,4346.055,4346.055
1786235100000,4346.055,4346.055,4346.055,4346.055
1786235400000,4346.055,4346.055,4346.055,4346.055
1786235700000,4346.055,4346.055,4346.055,4346.055
1786236000000,4346.055,4346.055,4346.055,4346.055
1786236300000,4346.055,4346.055,4346.055,4346.055
1786236600000,4346.055,4346.055,4346.055,4346.055
1786236900000,4346.055,4346.055,4346.055,4346.055
1786237200000,4346.055,4346.055,4346.055,4346.055
1786237500000,4346.055,4346.055,4346.055,4346.055
1786237800000,4346.055,4346.055,4346.055,4346.055
1786238100000,4346.055,4346.055,4346.055,4346.055
1786238400000,4346.055,4346.055,4346.055,4346.055
1786238700000,4346.055,4346.055,4346.055,4346.055
1786239000000,4346.055,4346.055,4346.055,4346.055
1786239300000,4346.055,4346.055,4346.055,4346.055
1786239600000,4346.055,4346.055,4346.055,4346.055
1786239900000,4346.055,4346.055,4346.055,4346.055
1786240200000,4346.055,4346.055,4346.055,4346.055
1786240500000,4346.055,4346.055,4346.055,4346.055
1786240800000,4346.055,4346.055,4346.055,4346.055
1786241100000,4346.055,4346.055,4346.055,4346.055
1786241400000,4346.055,4346.055,4346.055,4346.055
1786241700000,4346.055,4346.055,4346.055,4346.055
1786242000000,4346.055,4346.055,4346.055,4346.055
1786242300000,4346.055,4346.055,4346.055,4346.055
1786242600000,4346.055,4346.055,4346.055,4346.055
1786242900000,4346.055,4346.055,4346.055,4346.055
1786243200000,4346.055,4346.055,4346.055,4346.055
1786243500000,4346.055,4346.055,4346.055,4346.055
1786243800000,4346.055,4346.055,4346.055,4346.055
1786244100000,4346.055,4346.055,4346.055,4346.055
1786244400000,4346.055,4346.055,4346.055,4346.055
1786244700000,4346.055,4346.055,4346.055,4346.055
1786245000000,4346.055,4346.055,4346.055,4346.055
1786245300000,4346.055,4346.055,4346.055,4346.055
1786245600000,4346.055,4346.055,4346.055,4346.055
1786245900000,4346.055,4346.055,4346.055,4346.055
1786246200000,4346.055,4346.055,4346.055,4346.055
1786246500000,4346.055,4346.055,4346.055,4346.055
1786246800000,4346.055,4346.055,4346.055,4346.055
1786247100000,4346.055,4346.055,4346.055,4346.055
1786247400000,4346.055,4346.055,4346.055,4346.055
1786247700000,4346.055,4346.055,4346.055,4346.055
1786248000000,4346.055,4346.055,4346.055,4346.055
1786248300000,4346.055,4346.055,4346.055,4346.055
1786248600000,4346.055,4346.055,4346.055,4346.055
1786248900000,4346.055,4346.055,4346.055,4346.055
1786249200000,4346.055,4346.055,4346.055,4346.055
1786249500000,4346.055,4346.055,4346.055,4346.055
1786249800000,4346.055,4346.055,4346.055,4346.055
1786250100000,4346.055,4346.055,4346.055,4346.055
1786250400000,4346.055,4346.055,4346.055,4346.055
1786250700000,4346.055,4346.055,4346.055,4346.055
1786251000000,4346.055,4346.055,4346.055,4346.055
1786251300000,4346.055,4346.055,4346.055,4346.055
1786251600000,4346.055,4346.055,4346.055,4346.055
1786251900000,4346.055,4346.055,4346.055,4346.055
1786252200000,4346.055,4346.055,4346.055,4346.055
1786252500000,4346.055,4346.055,4346.055,4346.055
1786252800000,4346.055,4346.055,4346.055,4346.055
1786253100000,4346.055,4346.055,4346.055,4346.055
1786253400000,4346.055,4346.055,4346.055,4346.055
1786253700000,4346.055,4346.055,4346.055,4346.055
1786254000000,4346.055,4346.055,4346.055,4346.055
1786254300000,4346.055,4346.055,4346.055,4346.055
1786254600000,4346.055,4346.055,4346.055,4346.055
1786254900000,4346.055,4346.055,4346.055,4346.055
1786255200000,4346.055,4346.055,4346.055,4346.055
1786255500000,4346.055,4346.055,4346.055,4346.055
1786255800000,4346.055,4346.055,4346.055,4346.055
1786256100000,4346.055,4346.055,4346.055,4346.055
1786256400000,4346.055,4346.055,4346.055,4346.055
1786256700000,4346.055,4346.055,4346.055,4346.055
1786257000000,4346.055,4346.055,4346.055,4346.055
1786257300000,4346.055,4346.055,4346.055,4346.055
1786257600000,4346.055,4346.055,4346.055,4346.055
1786257900000,4346.055,4346.055,4346.055,4346.055
1786258200000,4346.055,4346.055,4346.055,4346.055
1786258500000,4346.055,4346.055,4346.055,4346.055
1786258800000,4346.055,4346.055,4346.055,4346.055
1786259100000,4346.055,4346.055,4346.055,4346.055
1786259400000,4346.055,4346.055,4346.055,4346.055
1786259700000,4346.055,4346.055,4346.055,4346.055
1786260000000,4346.055,4346.055,4346.055,4346.055
1786260300000,4346.055,4346.055,4346.055,4346.055
1786260600000,4346.055,4346.055,4346.055,4346.055
1786260900000,4346.055,4346.055,4346.055,4346.055
1786261200000,4346.055,4346.055,4346.055,4346.055
1786261500000,4346.055,4346.055,4346.055,4346.055
1786261800000,4346.055,4346.055,4346.055,4346.055
1786262100000,4346.055,4346.055,4346.055,4346.055
1786262400000,4346.055,4346.055,4346.055,4346.055
1786262700000,4346.055,4346.055,4346.055,4346.055
1786263000000,4346.055,4346.055,4346.055,4346.055
1786263300000,4346.055,4346.055,4346.055,4346.055
1786263600000,4346.055,4346.055,4346.055,4346.055
1786263900000,4346.055,4346.055,4346.055,4346.055
1786264200000,4346.055,4346.055,4346.055,4346.055
1786264500000,4346.055,4346.055,4346.055,4346.055
1786264800000,4346.055,4346.055,4346.055,4346.055
1786265100000,4346.055,4346.055,4346.055,4346.055
1786265400000,4346.055,4346.055,4346.055,4346.055
1786265700000,4346.055,4346.055,4346.055,4346.055
1786266000000,4346.055,4346.055,4346.055,4346.055
1786266300000,4346.055,4346.055,4346.055,4346.055
1786266600000,4346.055,4346.055,4346.055,4346.055
1786266900000,4346.055,4346.055,4346.055,4346.055
1786267200000,4346.055,4346.055,4346.055,4346.055
1786267500000,4346.055,4346.055,4346.055,4346.055
1786267800000,4346.055,4346.055,4346.055,4346.055
1786268100000,4346.055,4346.055,4346.055,4346.055
1786268400000,4346.055,4346.055,4346.055,4346.055
1786268700000,4346.055,4346.055,4346.055,4346.055
1786269000000,4346.055,4346.055,4346.055,4346.055
1786269300000,4346.055,4346.055,4346.055,4346.055
1786269600000,4346.055,4346.055,4346.055,4346.055
1786269900000,4346.055,4346.055,4346.055,4346.055
1786270200000,4346.055,4346.055,4346.055,4346.055
1786270500000,4346.055,4346.055,4346.055,4346.055
1786270800000,4346.055,4346.055,4346.055,4346.055
1786271100000,4346.055,4346.055,4346.055,4346.055
1786271400000,4346.055,4346.055,4346.055,4346.055
1786271700000,4346.055,4346.055,4346.055,4346.055
1786272000000,4346.055,4346.055,4346.055,4346.055
1786272300000,4346.055,4346.055,4346.055,4346.055
1786272600000,4346.055,4346.055,4346.055,4346.055
1786272900000,4346.055,4346.055,4346.055,4346.055
1786273200000,4346.055,4346.055,4346.055,4346.055
1786273500000,4346.055,4346.055,4346.055,4346.055
1786273800000,4346.055,4346.055,4346.055,4346.055
1786274100000,4346.055,4346.055,4346.055,4346.055
1786274400000,4346.055,4346.055,4346.055,4346.055
1786274700000,4346.055,4346.055,4346.055,4346.055
1786275000000,4346.055,4346.055,4346.055,4346.055
1786275300000,4346.055,4346.055,4346.055,4346.055
1786275600000,4346.055,4346.055,4346.055,4346.055
